2022-11-11 17:53:13|INFO    |[jdTest1111.py:350]|.........开始进行查全率检查.........
2022-11-11 17:53:13|INFO    |[jdTest1111.py:338]|开始检测"飞机"类目标
2022-11-11 17:53:13|INFO    |[jdTest1111.py:342]|0001.xml中"飞机"类目标有1个,被检测出的目标有1个，其中被正确检测的目标有1个
2022-11-11 17:53:13|INFO    |[jdTest1111.py:342]|0002.xml中"飞机"类目标有1个,被检测出的目标有0个，其中被正确检测的目标有1个
2022-11-11 17:53:13|INFO    |[jdTest1111.py:342]|0003.xml中"飞机"类目标有1个,被检测出的目标有0个，其中被正确检测的目标有1个
2022-11-11 17:53:13|INFO    |[jdTest1111.py:342]|0004.xml中"飞机"类目标有1个,被检测出的目标有0个，其中被正确检测的目标有1个
2022-11-11 17:53:13|INFO    |[jdTest1111.py:342]|0005.xml中"飞机"类目标有1个,被检测出的目标有0个，其中被正确检测的目标有1个
2022-11-11 17:53:13|INFO    |[jdTest1111.py:342]|0006.xml中"飞机"类目标有1个,被检测出的目标有0个，其中被正确检测的目标有1个
2022-11-11 17:53:13|INFO    |[jdTest1111.py:342]|0007.xml中"飞机"类目标有1个,被检测出的目标有0个，其中被正确检测的目标有1个
2022-11-11 17:53:13|INFO    |[jdTest1111.py:342]|0008.xml中"飞机"类目标有1个,被检测出的目标有0个，其中被正确检测的目标有1个
2022-11-11 17:53:13|INFO    |[jdTest1111.py:342]|0009.xml中"飞机"类目标有1个,被检测出的目标有0个，其中被正确检测的目标有1个
2022-11-11 17:53:13|INFO    |[jdTest1111.py:342]|0010.xml中"飞机"类目标有1个,被检测出的目标有0个，其中被正确检测的目标有1个
2022-11-11 17:53:13|INFO    |[jdTest1111.py:342]|0011.xml中"飞机"类目标有1个,被检测出的目标有0个，其中被正确检测的目标有1个
2022-11-11 17:53:13|INFO    |[jdTest1111.py:342]|0012.xml中"飞机"类目标有1个,被检测出的目标有0个，其中被正确检测的目标有1个
2022-11-11 17:53:13|INFO    |[jdTest1111.py:342]|0013.xml中"飞机"类目标有1个,被检测出的目标有0个，其中被正确检测的目标有1个
2022-11-11 17:53:13|INFO    |[jdTest1111.py:342]|0014.xml中"飞机"类目标有1个,被检测出的目标有0个，其中被正确检测的目标有1个
2022-11-11 17:53:13|INFO    |[jdTest1111.py:342]|0015.xml中"飞机"类目标有1个,被检测出的目标有0个，其中被正确检测的目标有1个
2022-11-11 17:53:13|INFO    |[jdTest1111.py:342]|0016.xml中"飞机"类目标有1个,被检测出的目标有0个，其中被正确检测的目标有1个
2022-11-11 17:53:13|INFO    |[jdTest1111.py:342]|0017.xml中"飞机"类目标有0个,被检测出的目标有0个，其中被正确检测的目标有1个
2022-11-11 17:53:13|INFO    |[jdTest1111.py:342]|0018.xml中"飞机"类目标有1个,被检测出的目标有1个，其中被正确检测的目标有1个
2022-11-11 17:53:13|INFO    |[jdTest1111.py:342]|0019.xml中"飞机"类目标有1个,被检测出的目标有1个，其中被正确检测的目标有1个
2022-11-11 17:53:13|INFO    |[jdTest1111.py:342]|0020.xml中"飞机"类目标有1个,被检测出的目标有0个，其中被正确检测的目标有1个
2022-11-11 17:53:13|INFO    |[jdTest1111.py:342]|0021.xml中"飞机"类目标有1个,被检测出的目标有0个，其中被正确检测的目标有1个
2022-11-11 17:53:13|INFO    |[jdTest1111.py:342]|0022.xml中"飞机"类目标有1个,被检测出的目标有1个，其中被正确检测的目标有1个
2022-11-11 17:53:13|INFO    |[jdTest1111.py:342]|0023.xml中"飞机"类目标有1个,被检测出的目标有1个，其中被正确检测的目标有1个
2022-11-11 17:53:13|INFO    |[jdTest1111.py:342]|0024.xml中"飞机"类目标有1个,被检测出的目标有1个，其中被正确检测的目标有1个
2022-11-11 17:53:13|INFO    |[jdTest1111.py:342]|0025.xml中"飞机"类目标有1个,被检测出的目标有1个，其中被正确检测的目标有1个
2022-11-11 17:53:13|INFO    |[jdTest1111.py:342]|0026.xml中"飞机"类目标有1个,被检测出的目标有0个，其中被正确检测的目标有1个
2022-11-11 17:53:13|INFO    |[jdTest1111.py:342]|0027.xml中"飞机"类目标有1个,被检测出的目标有1个，其中被正确检测的目标有1个
2022-11-11 17:53:13|INFO    |[jdTest1111.py:342]|0028.xml中"飞机"类目标有1个,被检测出的目标有1个，其中被正确检测的目标有1个
2022-11-11 17:53:13|INFO    |[jdTest1111.py:342]|0029.xml中"飞机"类目标有1个,被检测出的目标有1个，其中被正确检测的目标有1个
2022-11-11 17:53:13|INFO    |[jdTest1111.py:342]|0030.xml中"飞机"类目标有1个,被检测出的目标有1个，其中被正确检测的目标有1个
2022-11-11 17:53:13|INFO    |[jdTest1111.py:342]|0031.xml中"飞机"类目标有1个,被检测出的目标有1个，其中被正确检测的目标有1个
